2026-06-03T22:11:10.165681|api||question|come posso andare a gemona del friuli partendo da |39524.8|granite4:3b
2026-06-03T22:16:11.382361|g|None|login|web:modal||
2026-06-03T22:16:18.916910|g|session_1780517778912|question|come posso andare a gemona del friuli partendo da udine||
2026-06-03T22:17:01.254866|api||question|come posso andare a gemona del friuli partendo da |42330.75|granite4:3b
2026-06-03T22:19:41.138946|g|None|login|web:modal||
2026-06-03T22:19:52.410929|g|s_h0n2ajpk_mpygeu2g|question|come posso andare a gemona del friuli partendo da udine||
2026-06-03T22:20:33.152850|api||question|come posso andare a gemona del friuli partendo da |40737.42|granite4:3b
2026-06-03T22:31:44.715319|gb|None|login|web:modal||
2026-06-03T22:31:57.432505|gb|session_1780518717429|question|come posso arrivare a gemona del friuli partendo da udine?||
2026-06-03T22:31:57.745920|api||question|come posso arrivare a gemona del friuli partendo d|306.29|granite4:3b
2026-06-03T22:32:08.602516|gb|session_1780518717429|question|come posso arrivare a cividale partendo da udine?||
2026-06-03T22:54:58.303956|g|None|login|web:modal||
2026-06-03T22:55:03.490005|g|None|login|web:modal||
2026-06-03T22:55:05.410712|g|session_1780520105404|question|come posso andare a gemona del friuli partendo da udine||
2026-06-03T22:55:28.761189|api||question|come posso andare a gemona del friuli partendo da |23345.38|granite4:3b
2026-06-03T23:08:12.811697|g|None|login|web:modal||
2026-06-03T23:08:23.876338|g|session_1780520105404|question|come posso andare a gemona del friuli partendo da udine||
2026-06-03T23:08:47.556719|api||question|come posso andare a gemona del friuli partendo da |23675.87|granite4:3b
2026-06-03T23:10:45.205597|g|None|login|web:modal||
2026-06-03T23:11:03.798902|g|session_1780520105404|question|come posso andare a gemona del friuli partendo da udine||
2026-06-03T23:11:22.721524|api||question|come posso andare a gemona del friuli partendo da |18918.51|granite4:3b
2026-06-03T23:13:19.189242|g|None|login|web:modal||
2026-06-03T23:13:22.814864|g|session_1780520105404|question|come posso andare a gemona del friuli partendo da udineù||
2026-06-03T23:13:22.936328|api||question|come posso andare a gemona del friuli partendo da |116.97|granite4:3b
2026-06-03T23:13:27.307733|g|session_1780520105404|question|come posso andare a gemona del friuli partendo da udine||
2026-06-03T23:13:27.425386|api||question|come posso andare a gemona del friuli partendo da |114.16|granite4:3b
2026-06-03T23:13:37.513110|g|session_1780520105404|question|come posso andare a cividale partendo da udine||
2026-06-03T23:13:37.605692|api||question|come posso andare a cividale partendo da udine|89.25|granite4:3b
2026-06-03T23:13:55.847143|g|session_1780520105404|question|come posso andare a pordenone partendo da udine||
2026-06-03T23:13:55.971949|api||question|come posso andare a pordenone partendo da udine|121.34|granite4:3b
2026-06-03T23:15:39.466048|g|session_1780520105404|question|come posso andare a tolmezzo partendo da udine||
2026-06-03T23:15:39.585814|api||question|come posso andare a tolmezzo partendo da udine|116.06|granite4:3b
2026-06-03T23:18:06.096982|g|None|login|web:modal||
2026-06-03T23:18:11.603224|g|session_1780520105404|question|come posso andare a tolmezzo partendo da udine||
2026-06-03T23:18:12.227746|api||question|come posso andare a tolmezzo partendo da udine|620.7|granite4:3b
2026-06-03T23:18:30.909914|g|session_1780520105404|question|come posso andare a cividale partendo da udine||
2026-06-03T23:18:32.117192|api||question|come posso andare a cividale partendo da udine|1203.79|granite4:3b
2026-06-03T23:18:44.826943|g|session_1780520105404|question|come posso andare a tavagnacco partendo da udine||
2026-06-03T23:18:45.467209|api||question|come posso andare a tavagnacco partendo da udine|636.63|granite4:3b
2026-06-03T23:21:33.929719|g|None|login|web:modal||
